content;tokens;tokens_ready;text;polarity;sentiment
@soeyoto1 @msaid_didu Bukti kalau Pemerintahan Pak @jokowi tidak pro rakyat. Tapi pro oligarki.  Vivo BBMnya lebih murah dari Pemerintah, diminta naikin agar sama dengan Harga kebodohan Pertamina.;['bukti', 'pemerintahan', 'pro', 'rakyat', 'pro', 'oligarki', 'bbmnya', 'murah', 'pemerintah', 'harga', 'kebodohan'];['bukti', 'perintah', 'pro', 'rakyat', 'pro', 'oligarki', 'bbmnya', 'murah', 'perintah', 'harga', 'bodoh'];bukti perintah pro rakyat pro oligarki bbmnya murah perintah harga bodoh;-2;0
@KompasTV Mentri esdm, trus patokanmu apa? Kantong pertamina udah jebol karna banyak dikorupsi, imbasnya rakyat yang menanggung semuanya?;['menteri', 'esdm', 'patokanmu', 'kantong', 'jebol', 'dikorupsi', 'imbasnya', 'rakyat', 'menanggung'];['menteri', 'esdm', 'patok', 'kantong', 'jebol', 'korupsi', 'imbas', 'rakyat', 'tanggung'];menteri esdm patok kantong jebol korupsi imbas rakyat tanggung;-9;0
@hnurwahid Ngaku masih subsidi tapi ada swasta yg jua lebih murah? mereka siapa yg subsidi? Pertamina dipimpin tukang maki2 ya bisa jadi begini nasib rakyatnya.. udah gitu masih dipuja puji lagi? di mana kewarasan hati kalian?;['mengaku', 'subsidi', 'swasta', 'jual', 'murah', 'subsidi', 'pimpin', 'tukang', 'memaki', 'nasib', 'rakyatnya', 'gitu', 'dipuja', 'puji', 'kewarasan', 'hati'];['subsidi', 'swasta', 'jual', 'murah', 'subsidi', 'pimpin', 'tukang', 'maki', 'nasib', 'rakyat', 'gitu', 'puja', 'puji', 'waras', 'hati'];subsidi swasta jual murah subsidi pimpin tukang maki nasib rakyat gitu puja puji waras hati;6;1
@Tan_Mar3M Kalau Vivo bisaberani bertahan dengan harga lama bagaimana pula nasib Pertamina ? 🤔;['berani', 'bertahan', 'harga', 'nasib'];['berani', 'tahan', 'harga', 'nasib'];berani tahan harga nasib;4;1
Menteri BUMN Erick Thohir menegaskan persiapan Indonesia soal transisi energi baru terbarukan. Salah satu upayanya lewat kerja sama yang dilakukan Pertamina. https://t.co/m7bycADGDD;['menteri', 'bumn', 'erick', 'thohir', 'persiapan', 'indonesia', 'transisi', 'energi', 'terbarukan', 'salah', 'upayanya', 'kerja'];['menteri', 'bumn', 'erick', 'thohir', 'indonesia', 'transisi', 'energi', 'salah', 'upaya', 'kerja'];menteri bumn erick thohir indonesia transisi energi salah upaya kerja;2;1
Itu kata orang pertamina si wkwkwk, dan hampir setiap hari aku test Sirkulasi franchise Pertamina yaitu Pertashop wkwkwk. Yang sekarang mandeg juga penjualannya 😂🙏🏻;['orang', 'wkwkwk', 'uji', 'sirkulasi', 'franchise', 'pertashop', 'wkwkwk', 'berhenti', 'penjualannya'];['orang', 'wkwkwk', 'uji', 'sirkulasi', 'franchise', 'pertashop', 'wkwkwk', 'henti', 'jual'];orang wkwkwk uji sirkulasi franchise pertashop wkwkwk henti jual;4;1
@Rama28may @txtdaritng sapa bilang pertamina di korupsi? fitnah !!! mafia pertamina kan sudah di basmi ama ahok. udah gak ada mafia pertamina lagi   dan ahok dah bikin pertamina surplus untung gedeeee selama ada ahok pasti pertamina maju n profit juga melayani rakyat sepenuh hati;['bilang', 'korupsi', 'fitnah', 'mafia', 'basmi', 'ahok', 'mafia', 'ahok', 'surplus', 'untung', 'ahok', 'maju', 'profit', 'melayani', 'rakyat', 'sepenuhnya', 'hati'];['bilang', 'korupsi', 'fitnah', 'mafia', 'basmi', 'ahok', 'mafia', 'ahok', 'surplus', 'untung', 'ahok', 'maju', 'profit', 'layan', 'rakyat', 'sepenuh', 'hati'];bilang korupsi fitnah mafia basmi ahok mafia ahok surplus untung ahok maju profit layan rakyat sepenuh hati;-13;0
@BisKota_ asli, pertamina sedang berada dalam fase tertolol;['asli', 'fase', 'tertolol'];['asli', 'fase', 'tolol'];asli fase tolol;-3;0
@eradotid Ya lagian vivo kan bukan punya pemerintah. Bisa aja sumber minyaknya beda suplier istilahnya sama pertamina. Terus urusannya sama pertamina apa ? Lagian Ron yg vivo jual dibawah ron @pertamina . Coba jelaskan..;['pemerintah', 'sumber', 'minyaknya', 'beda', 'suplier', 'istilahnya', 'urusannya', 'ron', 'jual', 'dibawah', 'ron', 'coba'];['perintah', 'sumber', 'minyak', 'beda', 'suplier', 'istilah', 'urus', 'ron', 'jual', 'ron', 'coba'];perintah sumber minyak beda suplier istilah urus ron jual ron coba;1;1
@kompascom Fix pertamina banyak mafia2 nya. Makanya costnya besar;['benaran', 'mafia', 'nya', 'harganya'];['mafia', 'nya', 'harga'];mafia nya harga;-2;0
Life is a choice. Pilih yang Pro Rakyat. Rakyat berhak tentukan pilihan.  SPBU Vivo diserbu warga usai pemerintah mengumumkan kenaikan harga BBM di Pertamina. Pasalnya, harga bensin yang dijual Vivo dinilai sebagai yang paling murah. https://t.co/ehuljPGW0M;['life', 'pilih', 'pilih', 'pro', 'rakyat', 'rakyat', 'berhak', 'tentukan', 'pilihan', 'spbu', 'diserbu', 'warga', 'pemerintah', 'mengumumkan', 'kenaikan', 'harga', 'bbm', 'pasalnya', 'harga', 'bensin', 'dijual', 'dinilai', 'murah'];['life', 'pilih', 'pilih', 'pro', 'rakyat', 'rakyat', 'hak', 'pilih', 'spbu', 'serbu', 'warga', 'perintah', 'harga', 'bbm', 'pasal', 'harga', 'bensin', 'jual', 'nilai', 'murah'];life pilih pilih pro rakyat rakyat hak pilih spbu serbu warga perintah harga bbm pasal harga bensin jual nilai murah;3;1
@Hilmi28 Karena harga minyak dari Singapura jauh lebih murah daripada minyak yg diproduksi sama Pertamina,,,;['harga', 'minyak', 'singapura', 'murah', 'minyak', 'diproduksi'];['harga', 'minyak', 'singapura', 'murah', 'minyak', 'produksi'];harga minyak singapura murah minyak produksi;6;1
